"subject","response","rt","task","bade_condition","prompt_type","scenario_trial"
"ff3mt37",6,12790,"BADE","negative","lure",1
"ff3mt37",0,8756,"BADE","negative","lure",1
"ff3mt37",2,5943,"BADE","negative","true_",1
"ff3mt37",0,7207,"BADE","negative","absurd",1
"ff3mt37",4,7169,"BADE","positive","lure",1
"ff3mt37",4,7447,"BADE","positive","lure",1
"ff3mt37",2,8615,"BADE","positive","true_",1
"ff3mt37",0,6457,"BADE","positive","absurd",1
"ff3mt37",4,7877,"BADE","positive","lure",1
"ff3mt37",6,6235,"BADE","positive","lure",1
"ff3mt37",4,6416,"BADE","positive","true_",1
"ff3mt37",2,6762,"BADE","positive","absurd",1
"ff3mt37",6,8459,"BADE","negative","lure",1
"ff3mt37",2,6107,"BADE","negative","lure",1
"ff3mt37",0,5084,"BADE","negative","true_",1
"ff3mt37",0,5666,"BADE","negative","absurd",1
"ff3mt37",0,9124,"BADE","positive","lure",1
"ff3mt37",0,6095,"BADE","positive","lure",1
"ff3mt37",4,3889,"BADE","positive","true_",1
"ff3mt37",6,7993,"BADE","positive","absurd",1
"ff3mt37",2,9508,"BADE","positive","lure",1
"ff3mt37",2,6916,"BADE","positive","lure",1
"ff3mt37",2,6068,"BADE","positive","true_",1
"ff3mt37",0,6568,"BADE","positive","absurd",1
"ff3mt37",2,7592,"BADE","positive","lure",1
"ff3mt37",2,7598,"BADE","positive","lure",1
"ff3mt37",4,7047,"BADE","positive","true_",1
"ff3mt37",0,7582,"BADE","positive","absurd",1
"ff3mt37",4,5926,"BADE","negative","lure",1
"ff3mt37",6,5575,"BADE","negative","lure",1
"ff3mt37",2,8552,"BADE","negative","true_",1
"ff3mt37",2,9126,"BADE","negative","absurd",1
"ff3mt37",4,8989,"BADE","negative","lure",1
"ff3mt37",0,7228,"BADE","negative","lure",1
"ff3mt37",6,5887,"BADE","negative","true_",1
"ff3mt37",0,5530,"BADE","negative","absurd",1
"ff3mt37",2,6677,"BADE","positive","lure",1
"ff3mt37",6,7827,"BADE","positive","lure",1
"ff3mt37",4,8322,"BADE","positive","true_",1
"ff3mt37",6,6943,"BADE","positive","absurd",1
"ff3mt37",4,9361,"BADE","positive","lure",1
"ff3mt37",4,5695,"BADE","positive","lure",1
"ff3mt37",0,5986,"BADE","positive","true_",1
"ff3mt37",0,5003,"BADE","positive","absurd",1
"ff3mt37",2,7580,"BADE","negative","lure",1
"ff3mt37",2,7793,"BADE","negative","lure",1
"ff3mt37",4,5949,"BADE","negative","true_",1
"ff3mt37",0,5475,"BADE","negative","absurd",1
"ff3mt37",6,9576,"BADE","negative","lure",1
"ff3mt37",2,6916,"BADE","negative","lure",1
"ff3mt37",4,9242,"BADE","negative","true_",1
"ff3mt37",0,8052,"BADE","negative","absurd",1
"ff3mt37",2,6186,"BADE","positive","lure",1
"ff3mt37",4,5160,"BADE","positive","lure",1
"ff3mt37",0,5381,"BADE","positive","true_",1
"ff3mt37",2,5045,"BADE","positive","absurd",1
"ff3mt37",2,6792,"BADE","negative","lure",1
"ff3mt37",6,5839,"BADE","negative","lure",1
"ff3mt37",2,5902,"BADE","negative","true_",1
"ff3mt37",0,4909,"BADE","negative","absurd",1
"ff3mt37",4,7465,"BADE","negative","lure",1
"ff3mt37",2,5761,"BADE","negative","lure",1
"ff3mt37",2,4258,"BADE","negative","true_",1
"ff3mt37",0,5015,"BADE","negative","absurd",1
"ff3mt37",0,7116,"BADE","negative","lure",1
"ff3mt37",6,6446,"BADE","negative","lure",1
"ff3mt37",0,5357,"BADE","negative","true_",1
"ff3mt37",0,4973,"BADE","negative","absurd",1
"ff3mt37",2,5984,"BADE","positive","lure",1
"ff3mt37",6,6716,"BADE","positive","lure",1
"ff3mt37",6,6373,"BADE","positive","true_",1
"ff3mt37",0,7860,"BADE","positive","absurd",1
"ff3mt37",6,7168,"BADE","positive","lure",1
"ff3mt37",2,6013,"BADE","positive","lure",1
"ff3mt37",4,5386,"BADE","positive","true_",1
"ff3mt37",4,7609,"BADE","positive","absurd",1
"ff3mt37",0,13696,"BADE","negative","lure",1
"ff3mt37",2,4310,"BADE","negative","lure",1
"ff3mt37",2,5441,"BADE","negative","true_",1
"ff3mt37",0,6205,"BADE","negative","absurd",1
"ff3mt37",4,11106,"BADE","negative","lure",1
"ff3mt37",6,6562,"BADE","negative","lure",1
"ff3mt37",4,6741,"BADE","negative","true_",1
"ff3mt37",0,5374,"BADE","negative","absurd",1
"ff3mt37",4,8997,"BADE","positive","lure",1
"ff3mt37",4,5260,"BADE","positive","lure",1
"ff3mt37",2,6478,"BADE","positive","true_",1
"ff3mt37",0,5106,"BADE","positive","absurd",1
