"subject","bade_condition","scenario_trial","diff","D","N","P","stai_score","MSS","freq"
"02q6yqh","negative",1,1.70833333333333,0,10,0,61,10,12
"02q6yqh","negative",2,2.07142857142857,0,10,0,61,10,7
"02q6yqh","negative",3,4,0,10,0,61,10,1
"02q6yqh","positive",1,2.125,0,10,0,61,10,12
"02q6yqh","positive",2,6,0,10,0,61,10,2
"060hrcc","negative",1,0.375,6,8,4,50,18,12
"060hrcc","negative",2,-0.75,6,8,4,50,18,12
"060hrcc","negative",3,-0.291666666666667,6,8,4,50,18,12
"060hrcc","positive",1,0.125,6,8,4,50,18,12
"060hrcc","positive",2,0.0416666666666667,6,8,4,50,18,12
"060hrcc","positive",3,0.958333333333333,6,8,4,50,18,12
"09erodt","negative",1,0,12,9,13,50,34,12
"09erodt","negative",2,0.125,12,9,13,50,34,12
"09erodt","negative",3,-0.041666666666667,12,9,13,50,34,12
"09erodt","positive",1,0.125,12,9,13,50,34,12
"09erodt","positive",2,0,12,9,13,50,34,12
"09erodt","positive",3,0,12,9,13,50,34,12
"0aozzl5","negative",1,-0.0416666666666665,10,4,7,51,21,12
"0aozzl5","negative",2,0.5,10,4,7,51,21,2
"0aozzl5","positive",1,0.666666666666667,10,4,7,51,21,12
"0aozzl5","positive",2,3.25,10,4,7,51,21,2
"0l3m6la","negative",1,0.166666666666666,7,7,8,53,22,12
"0l3m6la","negative",2,0.0625,7,7,8,53,22,8
"0l3m6la","negative",3,-0.214285714285714,7,7,8,53,22,7
"0l3m6la","positive",1,-0.166666666666667,7,7,8,53,22,12
"0l3m6la","positive",2,0.0714285714285712,7,7,8,53,22,7
"0l3m6la","positive",3,-0.2,7,7,8,53,22,5
"0px6ym9","negative",1,0.916666666666667,3,6,2,62,11,12
"0px6ym9","negative",2,4.5,3,6,2,62,11,1
"0px6ym9","positive",1,-0.666666666666667,3,6,2,62,11,12
"13efbdd","negative",1,0,1,3,6,48,10,12
"13efbdd","positive",1,0.583333333333333,1,3,6,48,10,12
"14ord2r","negative",1,-0.666666666666667,4,7,11,52.2222222222222,22,12
"14ord2r","negative",2,-0.227272727272727,4,7,11,52.2222222222222,22,11
"14ord2r","negative",3,-0.35,4,7,11,52.2222222222222,22,10
"14ord2r","positive",1,-0.166666666666667,4,7,11,52.2222222222222,22,12
"14ord2r","positive",2,-0.208333333333333,4,7,11,52.2222222222222,22,12
"14ord2r","positive",3,0.0833333333333335,4,7,11,52.2222222222222,22,12
