"subject","bade_condition","prompt_type","scenario_trial","response_mean","rt_mean","D","N","P","stai_score","MSS","skipped"
"02q6yqh","negative","lure",3,2,3.0365,0,10,0,61,10,16
"02q6yqh","negative","absurd",1,0.166666666666667,2.64525,0,10,0,61,10,16
"02q6yqh","negative","lure",2,1.78571428571429,2.93471428571429,0,10,0,61,10,16
"02q6yqh","negative","lure",1,1.45833333333333,2.758375,0,10,0,61,10,16
"02q6yqh","negative","true_",1,3.16666666666667,5.33108333333333,0,10,0,61,10,16
"02q6yqh","negative","absurd",3,0,1.538,0,10,0,61,10,16
"02q6yqh","negative","true_",2,3.85714285714286,2.14128571428571,0,10,0,61,10,16
"02q6yqh","negative","true_",3,6,1.583,0,10,0,61,10,16
"02q6yqh","negative","absurd",2,0.285714285714286,1.86171428571429,0,10,0,61,10,16
"02q6yqh","positive","true_",2,6,2.033,0,10,0,61,10,22
"02q6yqh","positive","lure",1,1.79166666666667,2.45533333333333,0,10,0,61,10,22
"02q6yqh","positive","true_",1,3.91666666666667,5.52683333333333,0,10,0,61,10,22
"02q6yqh","positive","lure",2,0,2.55925,0,10,0,61,10,22
"02q6yqh","positive","absurd",2,0,1.981,0,10,0,61,10,22
"02q6yqh","positive","absurd",1,0.75,2.36583333333333,0,10,0,61,10,22
"060hrcc","negative","absurd",1,1.66666666666667,1.803,6,8,4,50,18,0
"060hrcc","negative","absurd",2,2.66666666666667,3.1385,6,8,4,50,18,0
"060hrcc","negative","absurd",3,2,1.95283333333333,6,8,4,50,18,0
"060hrcc","negative","lure",1,1.875,3.37141666666667,6,8,4,50,18,0
"060hrcc","negative","lure",2,2.41666666666667,2.11995833333333,6,8,4,50,18,0
"060hrcc","negative","lure",3,2.04166666666667,2.25366666666667,6,8,4,50,18,0
"060hrcc","negative","true_",1,2.25,3.281,6,8,4,50,18,0
"060hrcc","negative","true_",2,1.66666666666667,1.74158333333333,6,8,4,50,18,0
"060hrcc","negative","true_",3,1.75,1.73583333333333,6,8,4,50,18,0
"060hrcc","positive","absurd",1,1.83333333333333,1.92275,6,8,4,50,18,0
"060hrcc","positive","absurd",2,2.08333333333333,2.50633333333333,6,8,4,50,18,0
"060hrcc","positive","absurd",3,1.5,2.26716666666667,6,8,4,50,18,0
"060hrcc","positive","lure",1,1.54166666666667,2.033875,6,8,4,50,18,0
"060hrcc","positive","lure",2,1.375,2.04195833333333,6,8,4,50,18,0
"060hrcc","positive","lure",3,1.625,2.90129166666667,6,8,4,50,18,0
"060hrcc","positive","true_",1,1.66666666666667,3.01958333333333,6,8,4,50,18,0
"060hrcc","positive","true_",2,1.41666666666667,1.89416666666667,6,8,4,50,18,0
"060hrcc","positive","true_",3,2.58333333333333,2.01508333333333,6,8,4,50,18,0
"09erodt","negative","true_",2,5.91666666666667,4.9445,12,9,13,50,34,0
"09erodt","negative","absurd",1,6,4.55741666666667,12,9,13,50,34,0
"09erodt","negative","absurd",2,5.75,3.25075,12,9,13,50,34,0
"09erodt","negative","absurd",3,5.83333333333333,3.26791666666667,12,9,13,50,34,0
"09erodt","negative","lure",1,6,2.97816666666667,12,9,13,50,34,0
"09erodt","negative","lure",2,5.79166666666667,3.522625,12,9,13,50,34,0
"09erodt","negative","lure",3,5.875,3.2025,12,9,13,50,34,0
"09erodt","negative","true_",1,6,2.79833333333333,12,9,13,50,34,0
"09erodt","negative","true_",3,5.83333333333333,2.85875,12,9,13,50,34,0
"09erodt","positive","absurd",1,5.83333333333333,3.9585,12,9,13,50,34,0
"09erodt","positive","absurd",2,6,2.82066666666667,12,9,13,50,34,0
"09erodt","positive","absurd",3,6,3.21916666666667,12,9,13,50,34,0
"09erodt","positive","lure",1,5.875,2.79525,12,9,13,50,34,0
"09erodt","positive","lure",2,5.91666666666667,3.256375,12,9,13,50,34,0
"09erodt","positive","lure",3,6,2.89704166666667,12,9,13,50,34,0
"09erodt","positive","true_",1,6,2.471,12,9,13,50,34,0
"09erodt","positive","true_",2,5.91666666666667,3.18166666666667,12,9,13,50,34,0
"09erodt","positive","true_",3,6,2.66808333333333,12,9,13,50,34,0
"0aozzl5","negative","absurd",2,0,9.6715,10,4,7,51,21,22
"0aozzl5","negative","lure",1,2.375,22.8838333333333,10,4,7,51,21,22
"0aozzl5","negative","lure",2,2,5.6205,10,4,7,51,21,22
"0aozzl5","negative","absurd",1,0.333333333333333,10.1035,10,4,7,51,21,22
"0aozzl5","negative","true_",2,2.5,8.6,10,4,7,51,21,22
"0aozzl5","negative","true_",1,2.33333333333333,4.92233333333333,10,4,7,51,21,22
"0aozzl5","positive","lure",1,2.16666666666667,7.79120833333333,10,4,7,51,21,22
"0aozzl5","positive","true_",2,4,6.9445,10,4,7,51,21,22
"0aozzl5","positive","true_",1,2.83333333333333,12.1068333333333,10,4,7,51,21,22
"0aozzl5","positive","absurd",2,2.5,5.122,10,4,7,51,21,22
"0aozzl5","positive","absurd",1,0.25,13.522,10,4,7,51,21,22
"0aozzl5","positive","lure",2,0.75,4.46875,10,4,7,51,21,22
"0l3m6la","negative","true_",2,4.875,1.819,7,7,8,53,22,9
"0l3m6la","negative","lure",1,4.66666666666667,3.1415,7,7,8,53,22,9
"0l3m6la","negative","true_",3,4.42857142857143,1.92028571428571,7,7,8,53,22,9
"0l3m6la","negative","lure",3,4.64285714285714,3.47492857142857,7,7,8,53,22,9
"0l3m6la","negative","lure",2,4.8125,2.364125,7,7,8,53,22,9
"0l3m6la","negative","absurd",1,4.58333333333333,2.11258333333333,7,7,8,53,22,9
"0l3m6la","negative","absurd",3,4.71428571428571,2.08157142857143,7,7,8,53,22,9
"0l3m6la","negative","true_",1,4.83333333333333,1.84533333333333,7,7,8,53,22,9
"0l3m6la","negative","absurd",2,4.875,1.991125,7,7,8,53,22,9
"0l3m6la","positive","true_",3,4.6,2.6402,7,7,8,53,22,12
"0l3m6la","positive","absurd",1,4,2.30091666666667,7,7,8,53,22,12
"0l3m6la","positive","lure",3,4.8,3.9808,7,7,8,53,22,12
"0l3m6la","positive","true_",2,4.71428571428571,4.09885714285714,7,7,8,53,22,12
"0l3m6la","positive","absurd",2,4.57142857142857,2.56314285714286,7,7,8,53,22,12
"0l3m6la","positive","absurd",3,4.8,2.6124,7,7,8,53,22,12
"0l3m6la","positive","true_",1,4.5,2.83008333333333,7,7,8,53,22,12
"0l3m6la","positive","lure",2,4.64285714285714,3.72771428571429,7,7,8,53,22,12
"0l3m6la","positive","lure",1,4.66666666666667,3.3985,7,7,8,53,22,12
"0px6ym9","negative","lure",2,1.5,8.3205,3,6,2,62,11,23
"0px6ym9","negative","true_",2,6,4.275,3,6,2,62,11,23
"0px6ym9","negative","absurd",1,1.25,11.0108333333333,3,6,2,62,11,23
"0px6ym9","negative","absurd",2,1,4.524,3,6,2,62,11,23
"0px6ym9","negative","true_",1,3.16666666666667,7.06541666666667,3,6,2,62,11,23
"0px6ym9","negative","lure",1,2.25,9.28325,3,6,2,62,11,23
"0px6ym9","positive","absurd",1,1.66666666666667,11.6190833333333,3,6,2,62,11,24
"0px6ym9","positive","lure",1,3.16666666666667,7.64845833333333,3,6,2,62,11,24
"0px6ym9","positive","true_",1,2.5,9.02241666666667,3,6,2,62,11,24
"13efbdd","negative","lure",1,2.58333333333333,2.08216666666667,1,3,6,48,10,24
"13efbdd","negative","absurd",1,3.25,1.68016666666667,1,3,6,48,10,24
"13efbdd","negative","true_",1,2.58333333333333,1.8945,1,3,6,48,10,24
"13efbdd","positive","true_",1,3.08333333333333,1.81858333333333,1,3,6,48,10,24
"13efbdd","positive","absurd",1,2.91666666666667,2.10041666666667,1,3,6,48,10,24
"13efbdd","positive","lure",1,2.5,2.38908333333333,1,3,6,48,10,24
"14ord2r","negative","absurd",1,3.25,3.50691666666667,4,7,11,52.2222222222222,22,3
"14ord2r","negative","lure",3,3.75,2.1029,4,7,11,52.2222222222222,22,3
"14ord2r","negative","absurd",2,4,2.044,4,7,11,52.2222222222222,22,3
"14ord2r","negative","absurd",3,3.2,2.8619,4,7,11,52.2222222222222,22,3
"14ord2r","negative","lure",1,3.08333333333333,6.24283333333333,4,7,11,52.2222222222222,22,3
"14ord2r","negative","true_",3,3.4,2.1202,4,7,11,52.2222222222222,22,3
"14ord2r","negative","true_",2,3.45454545454545,3.301,4,7,11,52.2222222222222,22,3
"14ord2r","negative","true_",1,2.41666666666667,2.63925,4,7,11,52.2222222222222,22,3
"14ord2r","negative","lure",2,3.68181818181818,2.49772727272727,4,7,11,52.2222222222222,22,3
"14ord2r","positive","absurd",1,2.75,2.3165,4,7,11,52.2222222222222,22,0
"14ord2r","positive","absurd",2,3.66666666666667,2.263,4,7,11,52.2222222222222,22,0
"14ord2r","positive","absurd",3,2.91666666666667,3.812,4,7,11,52.2222222222222,22,0
"14ord2r","positive","lure",1,3.58333333333333,4.748875,4,7,11,52.2222222222222,22,0
"14ord2r","positive","lure",2,3.20833333333333,2.31320833333333,4,7,11,52.2222222222222,22,0
"14ord2r","positive","lure",3,3.66666666666667,2.19125,4,7,11,52.2222222222222,22,0
"14ord2r","positive","true_",1,3.41666666666667,2.43891666666667,4,7,11,52.2222222222222,22,0
"14ord2r","positive","true_",2,3,2.46533333333333,4,7,11,52.2222222222222,22,0
"14ord2r","positive","true_",3,3.75,2.69483333333333,4,7,11,52.2222222222222,22,0
"1fhyyn6","negative","lure",1,4.16666666666667,3.26845833333333,4,4,7,39,15,24
"1fhyyn6","negative","absurd",1,2.16666666666667,7.14341666666667,4,4,7,39,15,24
