"subject","acc_rate.x","acc_rate.y","completion_time.x","completion_time.y","avg","sd"
"060hrcc",NA,0.372093023255814,NA,25.7938333333333,NA,NA
"09erodt",NA,NA,NA,NA,5.91898148148148,0.0851184082777721
"0l3m6la",NA,0.0930232558139535,NA,NA,NA,NA
"13efbdd",NA,NA,NA,24.15795,NA,NA
"14ord2r",0.225,0.13953488372093,NA,NA,NA,NA
"1tdzkpu",0.075,0.0465116279069767,NA,NA,NA,NA
"334tmw1",0.45,NA,NA,NA,NA,NA
"6thxdb0",NA,0.209302325581395,NA,NA,NA,NA
"7dg78el",NA,NA,97.3185,NA,NA,NA
"7sneyta",NA,NA,NA,27.8763666666667,NA,NA
"8a808ex",NA,0.395348837209302,NA,NA,NA,NA
"9j2u5z9",NA,NA,NA,NA,4.09524410774411,0.071782117350818
"dczb8e2",NA,0.395348837209302,NA,NA,NA,NA
"dl42uvl",NA,0.116279069767442,NA,NA,NA,NA
"gmfq6ey",NA,0.116279069767442,NA,NA,NA,NA
"gwcrjp6",0.25,0.465116279069767,NA,NA,NA,NA
"hjmp8v5",0,0.0697674418604651,NA,28.97265,NA,NA
"jd9psqo",NA,NA,NA,28.1714666666667,NA,NA
"jdhuou4",NA,0,NA,27.2777,4.03287037037037,0.0485468763275445
"jrekm7g",0,0,NA,NA,NA,NA
"l1nfwpr",0.25,0.162790697674419,NA,NA,NA,NA
"ldrj08s",NA,0,NA,NA,NA,NA
"m24mt9a",0.175,0.441860465116279,NA,NA,NA,NA
"mf48dm5",NA,NA,NA,28.34365,NA,NA
"n0sh5un",0.225,0.27906976744186,NA,NA,NA,NA
"obdodxw",0.45,NA,NA,NA,NA,NA
"p68nez7",0.175,0.209302325581395,NA,NA,NA,NA
"q22x3t3",NA,0.488372093023256,NA,26.0543,NA,NA
"qx5v8df",NA,NA,NA,28.76115,NA,NA
"r2sobm8",0.35,0.0232558139534884,NA,NA,NA,NA
"rhp2ghg",NA,0.441860465116279,NA,NA,NA,NA
"sygbs67",0.025,0,NA,24.2149333333333,NA,NA
"t01fnjk",NA,0.395348837209302,NA,NA,NA,NA
"t5vkfjs",NA,0.0232558139534884,NA,22.8744166666667,NA,NA
"t809271",NA,NA,NA,23.52655,NA,NA
"tlvaxa7",0,0,NA,28.4584166666667,NA,NA
"vcy4hba",NA,NA,NA,25.6058833333333,NA,NA
"vxfh2fz",0.275,0.465116279069767,90.2600833333333,NA,NA,NA
"w8jhj10",NA,NA,NA,29.7127666666667,NA,NA
"wzzfcld",0.425,NA,NA,27.2147666666667,NA,NA
"yz8sl6z",0.175,0,NA,NA,NA,NA
"zo7tf1f",NA,NA,83.3016833333333,NA,NA,NA
