"subject","D","N","P","stai_score","MSS"
"02q6yqh",0,10,0,61,10
"060hrcc",6,8,4,50,18
"09erodt",12,9,13,50,34
"0aozzl5",10,4,7,51,21
"0l3m6la",7,7,8,53,22
"0px6ym9",3,6,2,62,11
"13efbdd",1,3,6,48,10
"14ord2r",4,7,11,52.2222222222222,22
"1fhyyn6",4,4,7,39,15
"1tdzkpu",8,9,12,54,29
"24em284",10,9,11,52,30
"2b10953",0,1,0,24,1
"2c2nd1m",1,6,7,29,14
"2fgbpk7",0,0,1,37,1
"2qsxhpa",5,4,6,54,15
"2t9nzj9",0,0,1,21,1
"30cmbu0",3,1,0,54,4
"31h36wp",1,0,2,59,3
"334tmw1",8,8,8,49,24
"36b6t03",11,7,12,51,30
"39gj663",2,5,1,60,8
"39h57wn",0,0,2,38,2
"39xmjcd",2,0,1,55,3
"3fts190",1,0,1,45,2
"3t3eqhh",8,8,11,41,27
"3uje6jg",6,8,5,43,19
"4dtj1vh",1,5,7,33,13
"4e7mcvn",9,7,4,48,20
"4fps5v4",0,2,0,34,2
"4ru4c2p",1,2,1,36,4
"4ur07ha",8,9,3,63,20
"58qsvn4",0,0,0,38.75,0
"59wv3ae",0,1,1,21,2
"59x0s18",6,5,9,49,20
"5dl3p3e",6,7,4,37,17
"5krbzu1",6,3,11,40,20
"5pjk69c",4,3,8,35,15
"5rzodn4",11,4,13,66,28
"5tyytlu",9,3,3,77,15
"6ahlnzk",11,11,12,58,34
"6d24nyb",0,0,0,33,0
"6h3vk18",0,0,0,24,0
"6thxdb0",10,8,12,51,30
"6vq9eeg",8,9,11,57,28
"732n1gv",12,9,13,51,34
"75hjro8",10,3,12,46,25
"7dg78el",3,2,0,67,5
"7sneyta",0,3,0,40,3
"7wc8b0x",4,3,1,45,8
"82v2yu8",0,3,0,37,3
"8a808ex",1,7,5,51.1111111111111,13
"8dnpxq2",11,7,12,46,30
"920vxbr",7,4,4,44,15
"966ltjj",0,6,1,53.75,7
"9hf1w8k",1,7,0,55.5555555555556,8
"9j2u5z9",0,4,2,55.5555555555556,6
"9m7e754",0,2,1,37,3
"9msn7ff",0,0,0,43.3333333333333,0
"9yj73yx",0,0,0,23,0
"a5q0xx3",0,5,1,61,6
"am060hf",4,2,4,51,10
"b2c1w1f",0,0,0,46,0
"b9uedz9",0,1,0,22,1
"bnl4t6a",10,8,13,51,31
"cggq7ne",0,2,5,24,7
"cv34dno",0,0,0,38,0
"cvb2zsb",5,5,8,44,18
"cyck3yc",0,0,0,43.3333333333333,0
"d1eh8o0",0,5,0,56,5
"d45tj2v",0,2,0,27,2
"d5pfwra",0,3,1,54.4444444444444,4
"d8kwb3h",0,4,0,20,4
"dc6hq9b",0,0,0,32,0
"dczb8e2",7,10,6,53,23
"dl42uvl",4,4,9,42,17
"dl7g11z",0,3,1,41,4
"dqs34yk",10,0,6,44,16
"e20jlx6",0,0,0,54,0
"e5g14ua",0,1,0,34,1
"e5n0l9n",0,0,0,34,0
"ehmnddd",0,1,0,27,1
"ff3mt37",1,3,2,27,6
"ffltuzp",7,6,10,48,23
"flgyw00",4,4,0,59,8
"fnhfpqz",0,0,0,41,0
"fq7lb7t",12,9,13,52,34
"fqnscry",2,7,6,39,15
"fqvtkmv",0,0,0,20,0
"fr0y21r",1,3,7,41,11
"fx9uxnd",0,4,0,53,4
"g02d1db",0,0,0,29,0
"gcvnby3",0,0,4,25,4
"gmfq6ey",10,9,9,54,28
"gowv1jh",0,1,1,50,2
"gwcrjp6",4,5,4,50,13
"h58q7r1",0,1,0,20,1
"hjmp8v5",4,4,6,54,14
"hz1clew",9,6,10,56.6666666666667,25
"j2856sx",0,0,0,20,0
"j5cnqdq",0,0,0,33,0
"j7p832z",2,0,3,35,5
"j7zmjcb",0,8,0,68,8
"jaw9s16",11,7,9,55,27
"jd9psqo",0,0,0,26,0
"jdhuou4",10,9,13,50,32
"jrekm7g",10,9,13,49,32
"jvxeb3j",3,6,11,34,20
"jw591uz",1,6,4,35,11
"k43ffng",12,9,13,50,34
"k6yj8gk",0,0,3,20,3
"kqmqcy7",3,2,0,71.25,5
"kzfbrgj",5,6,11,39,22
"l0wch3k",7,7,10,50,24
"l1nfwpr",11,9,11,48,31
"l2bred4",5,4,7,46,16
"l3ebluj",0,3,0,60,3
"l6tpe04",6,6,10,51,22
"ldrj08s",2,5,8,38,15
"lo0zfsw",0,2,0,35,2
"lpoysj1",0,0,0,44,0
"lq3jktq",3,5,6,48.8888888888889,14
"lrqmz6g",1,5,0,45,6
"m24mt9a",7,9,12,50,28
"m5kvj5z",4,5,1,30,10
"m7o8ur7",0,9,0,22,9
"mdqpc67",0,5,6,31,11
"mf48dm5",0,0,0,27,0
"mtpf1mm",4,10,4,52,18
"n0sh5un",5,3,8,56,16
"n3950xr",2,5,4,41,11
"n5fhr1l",0,6,6,63,12
"ne910um",0,0,0,46,0
"o0oxzvp",0,1,0,21,1
"o95cp6k",0,3,0,37,3
